Designator,Mid X,Mid Y,Layer,Rotation
F1,96.635mm,68.765mm,Top,0.0
F2,96.635mm,65.645mm,Top,0.0
F3,96.635mm,62.525mm,Top,0.0
F4,96.635mm,59.405mm,Top,0.0
F5,96.635mm,56.285mm,Top,0.0
J1,5.75mm,109.1mm,Top,0.0
Q1,97.6mm,100.5mm,Top,180.0
Q2,97.6mm,92.45mm,Top,180.0
Q3,97.6mm,84.4mm,Top,180.0
Q4,97.6mm,76.35mm,Top,180.0
Q5,115.05mm,100.5mm,Top,180.0
Q6,115.05mm,92.45mm,Top,180.0
Q7,115.05mm,84.4mm,Top,180.0
Q8,115.05mm,76.35mm,Top,180.0
R1,94.275mm,53.748405mm,Top,0.0
R2,94.275mm,51.799359mm,Top,0.0
R3,106.425mm,103.548405mm,Top,0.0
R4,106.425mm,101.599359mm,Top,0.0
R5,106.425mm,99.650313mm,Top,0.0
R6,106.425mm,97.701267mm,Top,0.0
R7,123.875mm,103.548405mm,Top,0.0
R8,123.875mm,101.599359mm,Top,0.0
R9,123.875mm,99.650313mm,Top,0.0
R10,123.875mm,97.701267mm,Top,0.0
R147,76.074999mm,91.67499699999999mm,Bottom,270.0
R146,45.424999mm,81.774997mm,Bottom,90.0
R141,47.974999000000004mm,106.524997mm,Bottom,180.0
U102,55.259499000000005mm,87.060597mm,Bottom,270.0
R109,77.474999mm,102.524997mm,Bottom,180.0
R108,42.635599mm,101.300397mm,Bottom,0.0
Q103,77.101599mm,101.41299699999999mm,Top,0.0
Q102,77.146299mm,99.379197mm,Bottom,270.0
Q101,39.124999mm,102.51999699999999mm,Bottom,270.0
Q100,42.474999000000004mm,103.57999699999999mm,Bottom,90.0
L100,45.874999mm,101.67499699999999mm,Bottom,180.0
F100,77.77499900000001mm,93.524997mm,Bottom,90.0
C120,51.774999mm,87.17499699999999mm,Bottom,90.0
C107,53.078599000000004mm,87.074997mm,Bottom,270.0
C106,57.372399mm,88.056697mm,Bottom,90.0
U110,44.774999mm,96.874997mm,Bottom,0.0
R145,48.174999mm,99.774997mm,Bottom,180.0
R144,46.174999mm,99.774997mm,Bottom,0.0
R143,38.771799mm,82.006197mm,Bottom,270.0
R107,51.099999000000004mm,99.774997mm,Top,270.0
D108,46.249999mm,102.124997mm,Top,90.0
C233,72.27509900000001mm,73.774997mm,Bottom,270.0
U107,49.774999mm,102.274997mm,Top,90.0
U106,76.975099mm,105.274997mm,Bottom,180.0
C134,47.574999000000005mm,102.074997mm,Top,90.0
C126,75.075099mm,104.874997mm,Bottom,270.0
VD103,76.975099mm,87.399997mm,Bottom,90.0
VD102,77.175099mm,83.616697mm,Bottom,90.0
VD101,77.175099mm,79.833297mm,Bottom,90.0
VD100,77.175099mm,76.04999699999999mm,Bottom,90.0
U109,77.27499900000001mm,75.67499699999999mm,Top,90.0
U108,77.27499900000001mm,79.574997mm,Top,90.0
U103,43.755099mm,88.699997mm,Bottom,270.0
U100,41.625099000000006mm,95.775497mm,Top,90.0
U285,46.174999mm,76.874997mm,Top,0.0
U280,49.274999mm,76.874997mm,Top,180.0
U275,39.874999mm,76.874997mm,Top,0.0
U270,42.974999000000004mm,76.874997mm,Top,180.0
U195,48.674999mm,81.124997mm,Top,90.0
U190,66.674999mm,79.224997mm,Top,180.0
U185,41.574999000000005mm,81.124997mm,Top,90.0
U180,60.874999mm,79.224997mm,Top,180.0
U175,55.074999000000005mm,79.224997mm,Top,180.0
U170,72.474999mm,79.224997mm,Top,180.0
S101,77.674999mm,96.874997mm,Top,90.0
S100,77.674999mm,91.074997mm,Top,270.0
R140,76.375099mm,72.374997mm,Bottom,0.0
R111,38.874999mm,85.92499699999999mm,Bottom,180.0
R112,38.874999mm,86.974997mm,Bottom,180.0
R117,38.874999mm,92.224997mm,Bottom,180.0
R115,38.874999mm,90.124997mm,Bottom,180.0
R116,38.874999mm,91.17499699999999mm,Bottom,180.0
R114,38.874999mm,89.074997mm,Bottom,180.0
R113,38.874999mm,88.024997mm,Bottom,180.0
R110,38.874999mm,84.874997mm,Bottom,180.0
R120,75.27499900000001mm,94.974997mm,Bottom,90.0
R100,38.575099mm,95.774997mm,Bottom,90.0
R258,73.77509900000001mm,71.774997mm,Bottom,270.0
R255,38.574999000000005mm,70.474997mm,Bottom,270.0
R256,73.77509900000001mm,73.774997mm,Bottom,90.0
R254,38.574999000000005mm,72.42499699999999mm,Top,270.0
R257,70.474999mm,70.92499699999999mm,Bottom,0.0
R245,65.675099mm,70.92499699999999mm,Bottom,0.0
R236,60.875099000000006mm,70.92499699999999mm,Bottom,0.0
R227,56.074999000000005mm,70.92499699999999mm,Bottom,0.0
R209,46.474999000000004mm,70.92499699999999mm,Bottom,0.0
R200,41.675099mm,70.92499699999999mm,Bottom,0.0
R197,48.675099mm,82.574997mm,Bottom,180.0
R196,48.674999mm,79.67499699999999mm,Bottom,0.0
R195,51.525099000000004mm,79.17499699999999mm,Bottom,270.0
R191,65.225099mm,79.224997mm,Bottom,270.0
R190,68.125099mm,79.224997mm,Bottom,90.0
R186,41.574999000000005mm,82.574997mm,Bottom,180.0
R185,41.574999000000005mm,79.67499699999999mm,Bottom,0.0
R181,59.425099mm,79.224997mm,Bottom,270.0
R180,62.325099mm,79.224997mm,Bottom,90.0
R176,53.625099000000006mm,79.224997mm,Bottom,270.0
R175,56.525099mm,79.224997mm,Bottom,90.0
R171,71.02509900000001mm,79.224997mm,Bottom,270.0
R170,73.924999mm,79.224997mm,Bottom,90.0
R139,78.174999mm,69.874997mm,Top,270.0
R138,76.974999mm,69.874997mm,Top,270.0
R137,75.77499900000001mm,69.874997mm,Top,270.0
R136,74.574999mm,69.874997mm,Top,270.0
R135,78.174999mm,70.874997mm,Top,90.0
R132,76.974999mm,70.874997mm,Top,90.0
R126,75.77499900000001mm,70.874997mm,Top,90.0
R124,74.574999mm,70.874997mm,Top,90.0
R119,39.274999mm,86.774997mm,Top,90.0
R118,39.274999mm,90.874997mm,Top,90.0
R266,72.27499900000001mm,69.874997mm,Top,270.0
R265,71.074999mm,69.874997mm,Top,270.0
R264,69.874999mm,69.874997mm,Top,270.0
R263,68.674999mm,69.874997mm,Top,270.0
R262,72.27499900000001mm,70.874997mm,Top,90.0
R261,71.074999mm,70.874997mm,Top,90.0
R260,69.874999mm,70.874997mm,Top,90.0
R259,68.674999mm,70.874997mm,Top,90.0
R253,67.474999mm,69.874997mm,Top,90.0
R252,66.27499900000001mm,69.874997mm,Top,90.0
R251,65.074999mm,69.874997mm,Top,90.0
R250,63.874999mm,69.874997mm,Top,90.0
R249,67.474999mm,70.874997mm,Top,270.0
R248,66.27499900000001mm,70.874997mm,Top,270.0
R247,65.074999mm,70.874997mm,Top,270.0
R246,63.874999mm,70.874997mm,Top,270.0
R244,62.674999mm,69.874997mm,Top,270.0
R243,61.474999000000004mm,69.874997mm,Top,270.0
R242,60.274999mm,69.874997mm,Top,270.0
R241,59.074999000000005mm,69.874997mm,Top,270.0
R240,62.674999mm,70.874997mm,Top,90.0
R239,61.474999000000004mm,70.874997mm,Top,90.0
R238,60.274999mm,70.874997mm,Top,90.0
R237,59.074999000000005mm,70.874997mm,Top,90.0
R235,57.874999mm,69.874997mm,Top,90.0
R234,56.674999mm,69.874997mm,Top,90.0
R233,55.474999000000004mm,69.874997mm,Top,90.0
R232,54.274999mm,69.874997mm,Top,90.0
R231,57.874999mm,70.874997mm,Top,270.0
R230,56.674999mm,70.874997mm,Top,270.0
R229,55.474999000000004mm,70.874997mm,Top,270.0
R228,54.274999mm,70.874997mm,Top,270.0
R226,53.074999000000005mm,69.874997mm,Top,270.0
R225,51.874999mm,69.874997mm,Top,270.0
R224,50.674999mm,69.874997mm,Top,270.0
R223,49.474999000000004mm,69.874997mm,Top,270.0
R222,53.074999000000005mm,70.874997mm,Top,90.0
R221,51.874999mm,70.874997mm,Top,90.0
R220,50.674999mm,70.874997mm,Top,90.0
R219,49.474999000000004mm,70.874997mm,Top,90.0
R218,51.274999mm,70.92499699999999mm,Bottom,0.0
R217,48.274999mm,69.874997mm,Top,270.0
R216,47.074999000000005mm,69.874997mm,Top,270.0
R215,45.874999mm,69.874997mm,Top,270.0
R214,44.674999mm,69.874997mm,Top,270.0
R213,48.304999mm,70.874997mm,Top,90.0
R212,47.074999000000005mm,70.874997mm,Top,90.0
R211,45.874999mm,70.874997mm,Top,90.0
R210,44.674999mm,70.874997mm,Top,90.0
R208,43.474999000000004mm,69.874997mm,Top,270.0
R207,42.274999mm,69.874997mm,Top,270.0
R206,41.074999000000005mm,69.874997mm,Top,270.0
R205,39.874999mm,69.874997mm,Top,270.0
R204,43.474999000000004mm,70.874997mm,Top,90.0
R203,42.274999mm,70.874997mm,Top,90.0
R202,41.074999000000005mm,70.874997mm,Top,90.0
R201,39.874999mm,70.874997mm,Top,90.0
R142,49.775099000000004mm,75.274997mm,Bottom,0.0
P106,61.274999mm,83.67499699999999mm,Top,270.0
P105,52.574999000000005mm,83.874997mm,Top,270.0
P104,56.874999mm,83.574997mm,Top,270.0
P201,73.544999mm,69.374997mm,Top,90.0
P200,38.574999000000005mm,68.874997mm,Top,90.0
P103,66.074999mm,83.574997mm,Top,180.0
P102,68.974999mm,83.574997mm,Top,180.0
P101,71.974999mm,83.574997mm,Top,180.0
P100,73.27499900000001mm,84.774997mm,Top,180.0
J100,65.250099mm,96.427997mm,Bottom,0.0
D100,41.500199mm,94.740497mm,Bottom,180.0
D205,77.174999mm,84.524997mm,Top,90.0
