Ref,Val,Package,PosX,PosY,Rot,Side
"F1","nSMD005","PAD-1206-PAD",96.635000,68.765000,0.000000,top
"F2","nSMD005","PAD-1206-PAD",96.635000,65.645000,0.000000,top
"F3","nSMD005","PAD-1206-PAD",96.635000,62.525000,0.000000,top
"F4","nSMD005","PAD-1206-PAD",96.635000,59.405000,0.000000,top
"F5","nSMD005","PAD-1206-PAD",96.635000,56.285000,0.000000,top
"J1","1-1376430-0","1-1376430-0",5.750000,109.100000,0.000000,top
"M1","Module-mega-mcu144-0.7","mega-mcu144",37.374999,68.074997,0.000000,top
"M2","Module-motor-driver-0.1","motor-driver",122.225000,45.975000,0.000000,top
"M3","Module-wbo-0.5","wbo",48.075000,32.275000,0.000000,top
"M4","Module-can-0.1","can",101.395000,62.738326,0.000000,top
"M5","Module-vr-discrete-0.5","vr-discrete",87.525000,34.462500,0.000000,top
"M6","Module-vr-discrete-0.5","vr-discrete",87.525000,23.412500,0.000000,top
"M7","Module-knock-0.2","knock",101.395000,58.194997,0.000000,top
"M8","Module-power_12and5V-0.3","power_12and5V",102.599999,1.549996,0.000000,top
"M9","Module-motor-driver-0.1","motor-driver",122.225000,34.725000,0.000000,top
"M13","Module-knock-0.2","knock",101.395000,53.644994,0.000000,top
"M14","Module-power_12and5V-0.3","power_12and5V",120.850001,1.549996,0.000000,top
"Q1","VND14NV04-E","DPAK",97.600000,100.500000,0.000000,top
"Q2","VND14NV04-E","DPAK",97.600000,92.450000,0.000000,top
"Q3","VND14NV04-E","DPAK",97.600000,84.400000,0.000000,top
"Q4","VND14NV04-E","DPAK",97.600000,76.350000,0.000000,top
"Q5","VND14NV04-E","DPAK",115.050000,100.500000,0.000000,top
"Q6","VND14NV04-E","DPAK",115.050000,92.450000,0.000000,top
"Q7","VND14NV04-E","DPAK",115.050000,84.400000,0.000000,top
"Q8","VND14NV04-E","DPAK",115.050000,76.350000,0.000000,top
"R1","33k","R0603",94.275000,53.748405,0.000000,top
"R2","6.8k","R0603",94.275000,51.799359,0.000000,top
"R3","4.7k","R0603",106.425000,103.548405,0.000000,top
"R4","4.7k","R0603",106.425000,101.599359,0.000000,top
"R5","4.7k","R0603",106.425000,99.650313,0.000000,top
"R6","4.7k","R0603",106.425000,97.701267,0.000000,top
"R7","4.7k","R0603",123.875000,103.548405,0.000000,top
"R8","4.7k","R0603",123.875000,101.599359,0.000000,top
"R9","4.7k","R0603",123.875000,99.650313,0.000000,top
"R10","4.7k","R0603",123.875000,97.701267,0.000000,top
