"Comment","Designator","Footprint","LCSC Part #"
"nSMD005","F1","hellen-one-common:PAD-1206-PAD","C369153"
"nSMD005","F2","hellen-one-common:PAD-1206-PAD","C369153"
"nSMD005","F3","hellen-one-common:PAD-1206-PAD","C369153"
"nSMD005","F4","hellen-one-common:PAD-1206-PAD","C369153"
"nSMD005","F5","hellen-one-common:PAD-1206-PAD","C369153"
"1-1376430-0","J1","STI:1-1376430-0",""
"Module-mega-mcu144-0.7","M1","hellen-one-mega-mcu144-0.7:mega-mcu144",""
"Module-motor-driver-0.1","M2","hellen-one-motor-driver-0.1:motor-driver",""
"Module-wbo-0.5","M3","hellen-one-wbo-0.5:wbo",""
"Module-can-0.1","M4","hellen-one-can-0.1:can",""
"Module-vr-discrete-0.5","M5","hellen-one-vr-discrete-0.5:vr-discrete",""
"Module-vr-discrete-0.5","M6","hellen-one-vr-discrete-0.5:vr-discrete",""
"Module-knock-0.2","M7","hellen-one-knock-0.2:knock",""
"Module-power_12and5V-0.3","M8","hellen-one-power_12and5V-0.3:power_12and5V",""
"Module-motor-driver-0.1","M9","hellen-one-motor-driver-0.1:motor-driver",""
"Module-knock-0.2","M13","hellen-one-knock-0.2:knock",""
"Module-power_12and5V-0.3","M14","hellen-one-power_12and5V-0.3:power_12and5V",""
"VND14NV04-E","Q1","hellen-one-common:DPAK","C155647"
"VND14NV04-E","Q2","hellen-one-common:DPAK"," C155647"
"VND14NV04-E","Q3","hellen-one-common:DPAK","C155647"
"VND14NV04-E","Q4","hellen-one-common:DPAK","C155647"
"VND14NV04-E","Q5","hellen-one-common:DPAK","C155647"
"VND14NV04-E","Q6","hellen-one-common:DPAK"," C155647"
"VND14NV04-E","Q7","hellen-one-common:DPAK","C155647"
"VND14NV04-E","Q8","hellen-one-common:DPAK","C155647"
"33k","R1","hellen-one-common:R0603","C4216"
"6.8k","R2","hellen-one-common:R0603","C23212"
"4.7k","R3","hellen-one-common:R0603","C23162"
"4.7k","R4","hellen-one-common:R0603","C23162"
"4.7k","R5","hellen-one-common:R0603","C23162"
"4.7k","R6","hellen-one-common:R0603","C23162"
"4.7k","R7","hellen-one-common:R0603","C23162"
"4.7k","R8","hellen-one-common:R0603","C23162"
"4.7k","R9","hellen-one-common:R0603","C23162"
"4.7k","R10","hellen-one-common:R0603","C23162"
